brunswick,187
hilton head,186
cumberland valley,179
san marcos,179
lafayette,179
hanford-corcoran,178
meadville,177
southeast IA,175
decatur,171
heartland florida,170
high rockies,169
salina,168
florence / muscle shoals,165
tuscaloosa,162
san angelo,161
mattoon-charleston,156
lake charles,156
kokomo,156
tuscarawas co,154
logan,152
catskills,147
northwest OK,145
northwest KS,143
auburn,142
statesboro,140
owensboro,140
farmington,136
twin tiers NY/PA,136
butte,134
central louisiana,132
gulfport / biloxi,127
north dakota,126
elko,120
susanville,119
southeast KS,119
kirksville,119
huntington-ashland,118
scottsbluff / panhandle,117
la salle co,116
show low,112
outer banks,109
del rio / eagle pass,108
potsdam-canton-massena,102
roswell / carlsbad,100
hattiesburg,99
southwest KS,96
bismarck,92
south dakota,90
houma,88
deep east texas,88
fort dodge,87
southeast alaska,84
siskiyou county,83
north platte,80
clovis / portales,78
ogden-clearfield,76
eastern montana,75
provo / orem,75
western IL,63
oneonta,62
southwest MN,56
pierre / central SD,55
eastern CO,40
southern WV,36
st louis,35
northeast SD,34
southwest TX,30
meridian,28
southwest MS,14
kansas city,11
"fort smith, AR",9
west virginia (old),8
